,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
0,CH4,3.399,208.4237,24.231,0.0076,data/GC_Data/Feb/28OCT22FID_TC_25.RES,p54m(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,4.295,6459.1010,665.814,0.8272,data/GC_Data/Feb/28OCT22FID_TC_25.RES,p54m(12C)30d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.143,22.0294,3.219,0.0008,data/GC_Data/Feb/28OCT22FID_TC_31.RES,p83m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.991,4967.3308,545.340,0.6362,data/GC_Data/Feb/28OCT22FID_TC_31.RES,p83m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,C02,3.991,4715.5009,508.320,0.6039,data/GC_Data/Feb/28OCT22FID_TC_30.RES,p83m(4C)180d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.408,237.9513,26.915,0.0086,data/GC_Data/Feb/28OCT22FID_TC_24.RES,p54m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,4.299,7091.1796,727.047,0.9082,data/GC_Data/Feb/28OCT22FID_TC_24.RES,p54m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.130,277.1081,35.686,0.0100,data/GC_Data/Feb/28OCT22FID_TC_18.RES,p35m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.979,3887.3186,441.342,0.4978,data/GC_Data/Feb/28OCT22FID_TC_18.RES,p35m(12C)7d_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.137,453.6980,53.363,0.0164,data/GC_Data/Feb/14OCT22FID_TC_07.RES,p83m(-4C)7d_T1_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.993,22764.6517,2385.254,2.9154,data/GC_Data/Feb/14OCT22FID_TC_07.RES,p83m(-4C)7d_T1_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.590,9679.7069,1502.707,0.3704,data/GC_Data/Feb/30Sept22FID_TC_08.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.148,9653.3670,1358.545,0.3498,data/GC_Data/Feb/30Sept22FID_TC_08.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.980,9863.7235,1197.179,1.2632,data/GC_Data/Feb/30Sept22FID_TC_08.RES,1ml_1pcMix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.546,18.3910,1.594,0.0007,data/GC_Data/Feb/01DEC22FID_TC_06.RES,pUS(12C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
