""	"Blank1"	"Blank2"	"p35m.-4C.0d"	"p35m.-4C.180d"	"p35m.-4C.30d"	"p35m.-4C.7d"	"p35m.12C.0d"	"p35m.12C.180d"	"p35m.12C.30d"	"p35m.12C.7d"	"p35m.4C.0d"	"p35m.4C.180d"	"p35m.4C.30d"	"p35m.4C.7d"	"p54m.-4C.0d"	"p54m.-4C.180d"	"p54m.-4C.30d"	"p54m.-4C.7d"	"p54m.12C.0d"	"p54m.12C.180d"	"p54m.12C.30d"	"p54m.12C.7d"	"p54m.4C.0d"	"p54m.4C.180d"	"p54m.4C.30d"	"p54m.4C.7d"	"p83m.-4C.0d"	"p83m.-4C.180d"	"p83m.-4C.30d"	"p83m.-4C.7d"	"p83m.12C.0d"	"p83m.12C.180d"	"p83m.12C.30d"	"p83m.12C.7d"	"p83m.4C.0d"	"p83m.4C.180d"	"p83m.4C.30d"	"p83m.4C.7d"	"pUS.12C.0d"	"pUS.12C.180d"	"pUS.12C.30d"	"pUS.12C.7d"
"ASV_78"	0	0	334	395	507	369	1221	193	900	868	559	57	506	283	0	0	0	0	0	0	0	0	0	0	0	0	235	347	0	423	422	0	290	565	144	37	824	466	0	0	0	0
"ASV_79"	0	0	1234	776	1137	1421	909	114	815	579	594	0	1081	1032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	69	0	0	0	0	0
"ASV_80"	0	0	308	821	530	1188	602	84	519	389	473	91	668	597	0	128	0	0	0	0	15	0	0	0	170	0	647	680	278	189	84	0	230	189	85	0	281	239	0	0	0	0
"ASV_81"	0	0	0	0	0	0	59	0	168	137	0	0	27	95	194	310	88	399	190	0	350	180	252	0	358	187	739	1171	700	1169	227	0	268	250	435	49	568	781	0	0	0	0
"ASV_82"	0	0	0	170	231	0	142	37	84	148	93	0	111	106	0	368	167	40	0	0	56	0	0	0	365	148	1028	1318	539	537	299	0	440	671	152	0	545	714	313	101	115	184
"ASV_83"	0	0	0	0	0	0	108	0	1120	391	61	0	0	0	274	1853	593	110	0	0	183	0	0	0	854	222	229	386	0	303	347	0	404	475	117	0	777	354	0	0	0	0
"ASV_84"	0	0	134	119	69	113	123	0	103	110	103	0	104	114	0	67	0	0	0	0	0	0	0	0	0	0	991	959	263	294	379	1078	697	1154	85	0	563	263	379	253	197	322
"ASV_85"	0	0	0	0	0	0	0	0	0	0	0	448	0	0	0	582	0	0	0	0	56	0	0	0	343	54	0	16	0	0	0	7470	0	0	0	0	0	0	0	0	14	0
"ASV_86"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6497	12	0	0	483	0	0	0	118	19	36	0	1261	102	113	0	126	87	21	14	0	6	7
"ASV_87"	0	0	0	0	0	0	16	0	160	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	400	79	2764	506	73	252	427	2046	50	1292	800	0	0	0	0
